"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,2016,,,,,,,,,2017,,,,,,,2018,,,,,,,,2019,,,,,,,,Yearly Change  ,
Calan SR,Verapamil HCl,Pharmaci/Pfizer,"$1,689,487.37","320,290","5,053",965,$5.29,$334.35,"$1,750.76",0,"$1,396,932.92","236,214","3,387",871,$5.97,$412.44,"$1,603.83",0,"$1,453,970.18","203,454","2,630",566,$7.19,$552.84,"$2,568.85",0,"$1,387,030.99","$169,715.00","2,192",505,$8.23,$632.77,"$2,746.60",0,"$1,329,770.89","163,327","2,080",500,$8.19,$639.31,"$2,659.54",0,-0.45%,11.58%
Calcipotriene,Calcipotriene,Cosette Pharmac,"$1,142,230.27","420,510","5,903","3,144",$2.72,$193.50,$363.30,0,"$888,028.23","374,160","5,250","2,896",$2.37,$169.15,$306.64,0,"$905,361.22","401,196","5,700","3,143",$2.26,$158.84,$288.06,0,"$519,405.83","$241,190.00","3,417","1,953",$2.15,$152.01,$265.95,0,"$619,865.52","296,760","4,110","2,617",$2.09,$150.82,$236.86,0,-3.01%,-6.36%
Calcipotriene,Calcipotriene,Fougera/Sandoz,"$145,817.31","48,792",660,345,$2.99,$220.94,$422.66,0,"$77,998.56","27,540",407,189,$2.83,$191.64,$412.69,0,"$49,585.89","16,467",244,112,$3.01,$203.22,$442.73,0,"$18,014.01","$7,200.00",120,69,$2.50,$150.12,$261.07,0,"$12,482.20","4,260",69,36,$2.93,$180.90,$346.73,0,17.11%,-0.49%
Calcipotriene,Calcipotriene,Glenmark Pharma,"$1,897,974.99","399,012","4,507","2,930",$4.76,$421.12,$647.77,0,"$8,825,999.16","2,060,586","23,173","10,929",$4.28,$380.87,$807.58,0,"$44,252,814.54","10,124,446","68,306","31,855",$4.37,$647.86,"$1,389.20",0,"$72,936,022.76","$17,776,636.00","108,327","51,569",$4.10,$673.29,"$1,414.34",0,"$35,467,717.52","12,947,907","83,029","43,563",$2.75,$427.17,$814.17,0,-32.97%,-12.80%
Calcipotriene,Calcipotriene,Global Pharm,"$896,745.19","335,862","4,577","2,374",$2.67,$195.92,$377.74,0,"$939,112.97","358,143","5,020","2,591",$2.62,$187.07,$362.45,0,"$966,365.63","391,050","5,524","3,042",$2.47,$174.94,$317.67,0,"$1,172,148.29","$538,379.00","7,486","4,348",$2.18,$156.58,$269.58,0,"$857,419.81","437,028","5,898","3,910",$1.96,$145.37,$219.29,0,-9.89%,-7.41%
Calcipotriene,Calcipotriene,Hi-Tech/Akorn C,"$40,508.27","16,380",248,197,$2.47,$163.34,$205.63,0,"$132,285.56","55,740",844,485,$2.37,$156.74,$272.75,0,"$99,284.74","40,922",643,460,$2.43,$154.41,$215.84,0,"$393,874.61","$185,090.00","2,716","1,597",$2.13,$145.02,$246.63,0,"$406,556.23","199,290","2,747","1,528",$2.04,$148.00,$266.07,0,-4.13%,-4.70%
Calcipotriene,Calcipotriene,Northstar Rx Ll, , , , , , , , , , , , , , , , , , , , , , , , ,"$1,320,090.67","$383,100.00","3,339","2,716",$3.45,$395.36,$486.04,0,"$6,576,179.56","2,346,307","19,072","10,952",$2.80,$344.81,$600.45,0,-18.66%,-18.66%
Calcipotriene,Calcipotriene,Prasco Labs,"$22,940,337.39","5,194,595","51,178","22,937",$4.42,$448.25,"$1,000.15",0,"$15,559,311.60","3,727,357","39,812","17,823",$4.17,$390.82,$872.99,0,"$11,030,737.03","2,821,809","30,097","14,778",$3.91,$366.51,$746.43,0,"$12,271,574.08","$3,388,071.00","35,121","18,104",$3.64,$349.41,$677.84,0,"$13,781,101.21","4,629,274","46,742","24,616",$2.98,$294.83,$559.84,0,-18.08%,-9.43%
Calcipotriene,Calcipotriene,Sandoz,"$15,942,966.84","3,307,478","37,288","15,476",$4.82,$427.56,"$1,030.17",0,"$12,390,838.53","2,885,792","32,073","13,364",$4.29,$386.33,$927.18,0,"$29,717,974.30","6,836,396","49,976","23,519",$4.35,$594.64,"$1,263.57",0,"$90,599,127.20","$22,504,879.10","134,675","49,692",$4.03,$672.72,"$1,823.21",0,"$36,623,782.03","14,108,660","65,882","27,024",$2.60,$555.90,"$1,355.23",0,-35.52%,-14.34%
Calcipotriene,Calcipotriene,Taro Pharm USA,"$7,545,078.13","1,788,961","19,498","9,181",$4.22,$386.97,$821.81,0,"$5,403,690.20","1,352,050","14,407","6,667",$4.00,$375.07,$810.51,0,"$3,233,383.68","807,176","9,470","4,829",$4.01,$341.43,$669.58,0,"$2,895,326.37","$760,900.00","8,827","4,469",$3.81,$328.01,$647.87,0,"$1,316,747.29","360,610","4,139","2,449",$3.65,$318.13,$537.67,0,-4.04%,-3.54%
Calcipotriene-Betamethasone Dp,Calcipotriene/Betamethasone,Perrigo Co.,"$4,331,305.10","489,988","5,284","2,800",$8.84,$819.70,"$1,546.89",0,"$3,822,045.26","456,665","4,823","2,459",$8.37,$792.46,"$1,554.31",0,"$3,509,848.75","418,210","4,552","2,327",$8.39,$771.06,"$1,508.31",0,"$4,716,515.42","$592,470.00","5,198","2,811",$7.96,$907.37,"$1,677.88",0,"$3,942,670.16","523,670","5,117","2,703",$7.53,$770.50,"$1,458.63",0,-5.42%,-3.93%
Calcipotriene-Betamethasone Dp,Calcipotriene/Betamethasone,Sandoz,"$4,838,095.14","515,627","5,764","3,070",$9.38,$839.36,"$1,575.93",0,"$5,546,377.66","753,781","5,766","3,243",$7.36,$961.91,"$1,710.26",0,"$7,614,828.19","1,168,641","6,829","4,006",$6.52,"$1,115.07","$1,900.86",0,"$6,140,578.90","$773,315.00","5,953","3,202",$7.94,"$1,031.51","$1,917.73",0,"$6,082,395.36","767,096","5,686","2,756",$7.93,"$1,069.71","$2,206.96",0,-0.14%,-4.12%
Calcitonin-Salmon,"Calcitonin,Salmon,Synthetic",Apotex Corp,"$12,287,580.34","836,783","173,393","55,731",$14.68,$70.87,$220.48,0,"$14,364,446.50","1,088,852","221,689","66,245",$13.19,$64.80,$216.84,0,"$16,653,134.49","1,130,228","230,370","68,483",$14.73,$72.29,$243.17,0,"$15,223,726.36","$1,050,811.18","212,981","66,851",$14.49,$71.48,$227.73,0,"$14,084,385.13","985,831","196,425","63,800",$14.29,$71.70,$220.76,0,-1.39%,-0.68%
Calcitonin-Salmon,"Calcitonin,Salmon,Synthetic",Par Pharm.,"$6,737,422.56","451,146","100,536","29,088",$14.93,$67.02,$231.62,0,"$5,010,141.08","379,749","91,624","25,762",$13.19,$54.68,$194.48,0,"$4,294,233.65","271,736","67,721","18,893",$15.80,$63.41,$227.29,0,"$3,376,573.56","$210,403.76","52,230","14,652",$16.05,$64.65,$230.45,0,"$2,328,020.79","150,151","35,871","12,405",$15.50,$64.90,$187.67,0,-3.39%,0.94%
Calcitonin-Salmon,"Calcitonin,Salmon,Synthetic",Sandoz,"$4,592,805.62","310,721","70,827","21,868",$14.78,$64.85,$210.02,0,"$250,075.60","19,745","4,547","2,494",$12.67,$55.00,$100.27,0,"$51,983.04","3,102",783,258,$16.76,$66.39,$201.48,0,"$34,956.66","$1,996.70",495,158,$17.51,$70.62,$221.24,0,"$29,738.29","1,691",426,150,$17.59,$69.81,$198.26,0,0.46%,4.44%
Calcitrene,Calcipotriene,Taro Pharm USA,"$333,275.64","71,210",627,391,$4.68,$531.54,$852.37,0,"$182,210.48","44,750",386,258,$4.07,$472.05,$706.24,0,"$131,212.80","32,940",281,183,$3.98,$466.95,$717.01,0,"$81,471.55","$20,420.00",178,128,$3.99,$457.71,$636.50,0,"$15,776.85","3,900",35,32,$4.05,$450.77,$493.03,1,1.39%,-3.58%
Calcitriol*,Calcitriol,Akorn Inc.,"$17,820.04","2,867",475,28,$6.22,$37.52,$636.43,0,"$17,943.83","2,739",323,31,$6.55,$55.55,$578.83,0,"$26,752.31","3,717",428,32,$7.20,$62.51,$836.01,0,"$18,678.55","$2,577.00",401,20,$7.25,$46.58,$933.93,0,"$13,231.49","1,999",326,20,$6.62,$40.59,$661.57,0,-8.68%,1.58%
Calcitriol*,Calcitriol,Bionpharma Inc., , , , , , , , , , , , , , , , , , , , , , , , ,"$1,413,494.46","$2,233,033.00","38,621","29,456",$0.62,$36.60,$47.99,0,"$10,193,664.58","17,834,733","325,831","103,966",$0.56,$31.29,$98.05,0,-10.37%,-10.37%
Calcitriol*,Calcitriol,Heritage Pharma,"$12,116,413.54","19,102,293","446,554","106,225",$0.62,$27.13,$114.06,0,"$14,340,764.89","22,873,348","528,662","124,203",$0.62,$27.13,$115.46,0,"$17,394,854.93","26,810,315","583,624","140,544",$0.64,$29.80,$123.77,0,"$14,176,222.58","$23,256,756.50","479,782","133,811",$0.60,$29.55,$105.94,0,"$9,324,282.38","16,841,428","321,909","89,388",$0.55,$28.97,$104.31,0,-8.74%,-3.26%
Calcitriol*,Calcitriol,Perrigo Co.,"$1,395,552.37","267,662","2,342","1,267",$5.21,$595.88,"$1,101.46",0,"$1,803,014.19","356,805","3,214","1,675",$5.05,$560.99,"$1,076.43",0,"$1,951,771.53","385,880","3,420","1,773",$5.06,$570.69,"$1,100.83",0,"$2,249,339.21","$450,000.00","3,640","1,783",$5.00,$617.95,"$1,261.55",0,"$2,077,218.59","435,372","3,348","1,585",$4.77,$620.44,"$1,310.55",0,-4.55%,-2.19%
Calcitriol*,Calcitriol,Ranbaxy/Sun Pha,"$2,471,444.70","3,171,388","98,865","23,964",$0.78,$25.00,$103.13,0,"$1,196,250.35","1,419,414","42,662","11,918",$0.87,$28.04,$100.37,0,"$922,841.42","927,468","26,228","7,973",$1.08,$35.19,$115.75,0,"$500,095.43","$391,373.85","10,693","2,935",$1.55,$46.77,$170.39,0,"$390,505.52","270,549","7,256","1,866",$1.78,$53.82,$209.27,0,14.85%,22.95%
Calcitriol*,Calcitriol,Rising Pharm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$13,241.04","1,920",50,38,$6.90,$264.82,$348.45,0, , 
Calcitriol*,Calcitriol,Roxane/West-War,"$698,722.71","87,214","3,824","1,120",$8.01,$182.72,$623.86,0,"$676,413.19","90,698","3,587","1,069",$7.46,$188.57,$632.75,0,"$569,470.06","77,417","3,280","1,010",$7.36,$173.62,$563.83,0,"$769,289.88","$103,939.15","3,702","1,053",$7.40,$207.80,$730.57,0,"$786,245.92","103,718","3,689","1,074",$7.58,$213.13,$732.07,0,2.42%,-1.37%
Calcitriol*,Calcitriol,Strides Pharma,"$1,797,760.35","3,018,324","61,886","27,450",$0.59,$29.05,$65.49,0,"$6,232,145.06","9,843,401","205,629","55,333",$0.62,$30.31,$112.63,0,"$7,443,236.44","11,537,261","257,697","74,897",$0.63,$28.88,$99.38,0,"$8,543,933.83","$14,097,728.43","310,204","85,436",$0.59,$27.54,$100.00,0,"$3,968,401.59","6,770,247","158,231","57,433",$0.58,$25.08,$69.10,0,-2.88%,-0.38%
Calcitriol*,Calcitriol,Teva USA,"$13,331,301.66","20,713,888","444,198","116,179",$0.64,$30.01,$114.75,0,"$10,950,332.41","18,923,163","401,049","103,008",$0.57,$27.30,$106.31,0,"$11,637,624.67","18,230,813","371,124","100,552",$0.62,$31.36,$115.74,0,"$11,125,851.99","$17,220,724.71","338,191","107,279",$0.63,$32.90,$103.71,0,"$9,644,094.54","16,115,054","320,802","90,709",$0.58,$30.06,$106.32,0,-7.46%,-2.13%
Calcitriol*,Calcitriol,West-Ward/Hikma,"$3,555,430.59","6,038,057","160,316","37,633",$0.59,$22.18,$94.48,0,"$3,206,269.34","5,805,985","150,826","35,632",$0.55,$21.26,$89.98,0,"$2,894,992.04","5,115,900","122,598","31,091",$0.57,$23.61,$93.11,0,"$2,687,321.95","$5,622,878.13","120,469","32,566",$0.48,$22.31,$82.52,0,"$2,820,308.07","5,939,319","110,401","32,575",$0.47,$25.55,$86.58,0,-0.64%,-5.24%
Calcium Acetate,Calcium Acetate,AHP,"$105,205.14","154,801",866,318,$0.68,$121.48,$330.83,0,"$37,915.94","62,581",467,182,$0.61,$81.19,$208.33,0,"$31,073.88","52,183",303,139,$0.60,$102.55,$223.55,0,"$3,317.67","$9,898.00",77,40,$0.34,$43.09,$82.94,0,"$59,969.50","112,532",613,425,$0.53,$97.83,$141.10,0,58.99%,-5.90%
Calcium Acetate,Calcium Acetate,Amneal Pharmace,"$5,495,545.88","11,140,438","47,394","18,148",$0.49,$115.95,$302.82,0,"$6,053,569.19","14,248,242","58,867","21,296",$0.42,$102.83,$284.26,0,"$6,686,992.26","15,559,501","65,916","26,411",$0.43,$101.45,$253.19,0,"$7,132,070.23","$17,609,565.41","82,649","30,658",$0.41,$86.29,$232.63,0,"$5,560,778.68","15,370,469","74,773","27,831",$0.36,$74.37,$199.81,0,-10.67%,-7.46%
Calcium Acetate,Calcium Acetate,Avkare, , , , , , , , , , , , , , , , ,"$11,356.84","29,514",156,94,$0.38,$72.80,$120.82,0,"$17,359.49","$46,656.00",255,118,$0.37,$68.08,$147.11,0,"$1,613.86","4,334",22,19,$0.37,$73.36,$84.94,1,0.08%,-1.63%
Calcium Acetate,Calcium Acetate,Avpak, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$2,867.79","5,499",34,28,$0.52,$84.35,$102.42,0, , 
Calcium Acetate,Calcium Acetate,Camber Pharmace,"$12,225,241.55","22,712,450","127,872","39,693",$0.54,$95.61,$307.99,0,"$6,132,870.24","13,028,958","74,706","24,545",$0.47,$82.09,$249.86,0,"$443,482.87","1,013,707","6,015","2,804",$0.44,$73.73,$158.16,0,"$25,132.85","$61,267.00",326,192,$0.41,$77.09,$130.90,0,"$3,607.86","10,622",60,28,$0.34,$60.13,$128.85,0,-17.20%,-10.87%
Calcium Acetate,Calcium Acetate,Chartwell Rx Ll, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$403,880.30","1,097,323","5,074","3,276",$0.37,$79.60,$123.28,0, , 
Calcium Acetate,Calcium Acetate,"Cipla USA, Inc.", , , , , , , , ,"$429,553.72","892,855","5,706","3,287",$0.48,$75.28,$130.68,0,"$3,576,492.88","7,814,611","45,936","13,716",$0.46,$77.86,$260.75,0,"$2,433,242.98","$6,426,879.00","39,587","11,989",$0.38,$61.47,$202.96,0,"$3,098,747.88","8,825,534","37,686","20,839",$0.35,$82.23,$148.70,0,-7.26%,-9.97%
Calcium Acetate,Calcium Acetate,Exelan Pharmace,"$72,468.06","148,561",806,395,$0.49,$89.91,$183.46,0,"$220,937.23","464,442","2,857","1,214",$0.48,$77.33,$181.99,0,"$141,070.23","311,515","2,093",816,$0.45,$67.40,$172.88,0,"$81,296.49","$197,353.00","1,057",445,$0.41,$76.91,$182.69,0,"$117,878.78","358,670","1,574","1,077",$0.33,$74.89,$109.45,0,-20.22%,-9.40%
Calcium Acetate,Calcium Acetate,Fresenius Medic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,211,443.73","6,554,890","20,070","12,518",$0.18,$60.36,$96.78,0, , 
Calcium Acetate,Calcium Acetate,"Gsms, Inc.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,264.66","5,570",21,16,$0.23,$60.22,$79.04,1, , 
Calcium Acetate,Calcium Acetate,Heritage Pharma,"$206,853.96","451,175","2,483","2,036",$0.46,$83.31,$101.60,0,"$7,386,873.67","17,698,030","83,807","29,527",$0.42,$88.14,$250.17,0,"$9,732,819.07","23,275,191","110,005","39,918",$0.42,$88.48,$243.82,0,"$11,608,904.80","$32,043,703.00","146,913","50,375",$0.36,$79.02,$230.45,0,"$6,959,752.17","21,409,239","92,420","41,627",$0.33,$75.31,$167.19,0,-10.20%,-8.22%
Calcium Acetate,Calcium Acetate,Lupin Pharmaceu,"$143,562.73","285,774","1,463","1,182",$0.50,$98.13,$121.46,0,"$4,236,620.35","9,127,656","51,789","14,968",$0.46,$81.81,$283.05,0,"$5,706,680.24","12,682,036","75,744","20,233",$0.45,$75.34,$282.05,0,"$4,012,112.09","$10,758,221.05","63,579","18,985",$0.37,$63.10,$211.33,0,"$3,541,615.44","10,497,946","59,057","21,235",$0.34,$59.97,$166.78,0,-9.54%,-9.47%
Calcium Acetate,Calcium Acetate,Major Pharmaceu, , , , , , , , , , , , , , , , ,"$4,059.19","6,219",40,23,$0.65,$101.48,$176.49,0,"$16,510.12","$32,525.00",300,89,$0.51,$55.03,$185.51,0,"$38,996.29","183,821",870,667,$0.21,$44.82,$58.47,0,-58.21%,-42.99%
Calcium Acetate,Calcium Acetate,Marlex Pharm., , , , , , , , , , , , , , , , , , , , , , , , ,"$8,147.82","$30,258.00",168,91,$0.27,$48.50,$89.54,0,"$4,464.70","19,086",97,37,$0.23,$46.03,$120.67,0,-13.13%,-13.13%
Calcium Acetate,Calcium Acetate,Nostrum Laborat, , , , , , , , ,"$159,838.00","399,028","2,033","1,287",$0.40,$78.62,$124.19,0,"$2,272,940.85","5,550,672","24,136","9,413",$0.41,$94.17,$241.47,0,"$5,678,254.42","$15,633,966.50","67,495","27,270",$0.36,$84.13,$208.22,0,"$5,451,945.99","16,361,599","72,596","34,535",$0.33,$75.10,$157.87,0,-8.26%,-5.95%
Calcium Acetate,Calcium Acetate,Perrigo Co.,"$1,794,420.79","4,401,043","20,056","6,948",$0.41,$89.47,$258.26,0,"$2,116,959.30","5,573,486","25,365","8,983",$0.38,$83.46,$235.66,0,"$2,355,718.81","5,483,351","24,059","9,534",$0.43,$97.91,$247.09,0,"$2,819,978.42","$6,781,392.75","29,533","10,511",$0.42,$95.49,$268.29,0,"$1,118,262.25","2,863,081","14,582","6,951",$0.39,$76.69,$160.88,0,-6.07%,-1.07%
Calcium Acetate,Calcium Acetate,Precision Dose, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$2,576.23","5,162",39,33,$0.50,$66.06,$78.07,0, , 
Calcium Acetate,Calcium Acetate,Sandoz,"$35,458,854.92","71,305,384","267,396","62,182",$0.50,$132.61,$570.24,0,"$29,509,293.24","68,155,410","237,431","55,185",$0.43,$124.29,$534.73,0,"$27,047,584.71","62,890,549","205,938","50,184",$0.43,$131.34,$538.97,0,"$19,444,493.64","$54,135,360.00","176,692","47,517",$0.36,$110.05,$409.21,0,"$11,315,463.73","31,861,624","107,675","44,402",$0.36,$105.09,$254.84,0,-1.12%,-8.07%
Calcium Acetate,Calcium Acetate,West-Ward/Hikma,"$20,744,437.30","37,545,261","199,598","57,527",$0.55,$103.93,$360.60,0,"$12,201,313.37","25,190,563","139,129","41,840",$0.48,$87.70,$291.62,0,"$7,775,621.71","16,934,509","93,965","31,302",$0.46,$82.75,$248.41,0,"$1,538,106.75","$4,061,268.00","22,900","8,999",$0.38,$67.17,$170.92,0,"$4,525,703.89","13,352,985","63,765","27,570",$0.34,$70.97,$164.15,0,-10.51%,-11.50%
Calcium Chloride,Calcium Chloride,Hospira/Pfizer, , , , , , , , , , , , , , , , , , , , , , , , ,"$2,749.12","$3,780.00",15, ,$0.73,$183.27, ,1,"$3,052.03","4,960",17, ,$0.62,$179.53, ,1,-15.39%,-15.39%
Calcium Gluconate,Calcium Gluconate,Fresenius Kabi, , , , , , , , , , , , , , , , , , , , , , , , ,"$25,355.29","$197,055.98",175,38,$0.13,$144.89,$667.24,0,"$59,661.32","433,781",530,60,$0.14,$112.57,$994.36,0,6.89%,6.89%
Calquence,Acalabrutinib,Astrazeneca, , , , , , , , , , , , , , , , ,"$705,323.12","2,940",49,38,$239.91,"$14,394.35","$18,561.13",0,"$33,476,152.10","$140,581.00","2,453",586,$238.13,"$13,647.02","$57,126.54",0,"$103,935,941.42","433,557","7,576","1,476",$239.73,"$13,719.11","$70,417.30",0,0.67%,-0.04%
Cambia,Diclofenac Potassium,Assertio Therap,"$3,471,546.75","86,851","6,863","2,449",$39.97,$505.84,"$1,417.54",0,"$4,590,764.28","91,915","7,290","2,443",$49.95,$629.73,"$1,879.15",0,"$5,021,036.20","88,292","7,002","2,214",$56.87,$717.09,"$2,267.86",0,"$6,231,804.27","$93,271.00","7,440","2,238",$66.81,$837.61,"$2,784.54",0,"$6,930,068.46","90,894","7,120","2,120",$76.24,$973.32,"$3,268.90",0,14.11%,17.52%
Camila,Norethindrone,Mayne Pharma In, , , , , , , , ,"$22,526.20","42,144","1,032",560,$0.53,$21.83,$40.23,0,"$116,789.73","212,224","5,030","1,392",$0.55,$23.22,$83.90,0,"$164,612.20","$275,706.00","6,145","1,703",$0.60,$26.79,$96.66,0,"$174,582.23","293,954","5,722","1,883",$0.59,$30.51,$92.71,0,-0.53%,3.58%
Camptosar,Irinotecan HCl,Pharmaci/Pfizer,"$9,267.60",735,23,12,$12.61,$402.94,$772.30,1, , , , , , , , , , , , , , , , ,"$2,714.92",$360.00,12, ,$7.54,$226.24, ,1,"$5,060.40",692,20, ,$7.12,$253.02, ,1,-5.58%,-13.31%
Camrese,L-Norgest/E.Estradiol-E.Estrad,Teva USA,"$532,086.59","267,695","2,955","1,241",$1.99,$180.06,$428.76,0,"$316,331.91","205,333","2,311","1,010",$1.54,$136.88,$313.20,0,"$157,251.19","111,089","1,220",582,$1.42,$128.89,$270.19,0,"$185,167.15","$119,729.00","1,312",687,$1.55,$141.13,$269.53,0,"$215,852.52","140,467","1,548",668,$1.54,$139.44,$323.13,0,-0.64%,-6.23%
Camrese Lo,L-Norgest/E.Estradiol-E.Estrad,Teva USA,"$104,355.58","52,296",572,240,$2.00,$182.44,$434.81,0,"$109,168.94","60,725",660,257,$1.80,$165.41,$424.78,0,"$103,545.69","62,242",679,269,$1.66,$152.50,$384.93,0,"$94,964.83","$60,636.00",666,268,$1.57,$142.59,$354.35,0,"$91,389.00","58,786",643,256,$1.55,$142.13,$356.99,0,-0.74%,-6.05%
Canasa,Mesalamine,Allergan Inc.,"$37,559,290.89","1,473,464","43,789","17,992",$25.49,$857.73,"$2,087.56",0,"$41,429,491.99","1,402,396","41,665","16,475",$29.54,$994.35,"$2,514.69",0,"$44,018,928.53","1,365,395","39,904","15,174",$32.24,"$1,103.12","$2,900.94",0,"$51,099,276.17","$1,442,587.40","41,332","15,625",$35.42,"$1,236.31","$3,270.35",0,"$15,817,360.39","418,526","11,510","4,478",$37.79,"$1,374.23","$3,532.24",0,6.69%,10.35%
Cancidas,Caspofungin Acetate,Merck Sharp & D,"$2,365,972.54","198,069","1,209",250,$13.64,"$1,956.97","$9,463.89",1,"$2,367,438.79","172,701","1,175",253,$13.66,"$2,014.84","$9,357.47",1,"$2,658,765.42","101,515","1,211",239,$29.18,"$2,195.51","$11,124.54",1,"$926,924.73","$42,903.57",533,107,$23.49,"$1,739.07","$8,662.85",1,"$179,140.03","13,501",103,28,$33.90,"$1,739.22","$6,397.86",1,44.35%,25.56%
Candesartan Cilexetil,Candesartan Cilexetil,AHP,"$8,575.82","3,429",66,60,$2.55,$129.94,$142.93,0,"$16,414.05","7,872",175,110,$2.09,$93.79,$149.22,0,"$10,411.07","3,893",139,47,$2.66,$74.90,$221.51,0,"$11,998.18","$5,428.00",114,67,$2.17,$105.25,$179.08,0,"$36,728.95","20,889",347,253,$1.78,$105.85,$145.17,0,-17.70%,-8.56%
Candesartan Cilexetil,Candesartan Cilexetil,Alembic Pharmac, , , , , , , , , , , , , , , , ,"$480,740.55","215,714","3,104","2,544",$2.23,$154.88,$188.97,0,"$3,516,319.03","$1,582,616.50","23,759","8,041",$2.22,$148.00,$437.30,0,"$5,394,153.59","2,783,774","39,920","15,756",$1.94,$135.12,$342.36,0,-12.49%,-6.60%
Candesartan Cilexetil,Candesartan Cilexetil,Macleods Pharma, , , , , , , , , , , , , , , , ,"$4,729,380.77","2,294,105","34,181","16,288",$2.07,$138.36,$290.36,0,"$12,389,811.72","$6,743,994.00","103,313","32,573",$1.85,$119.93,$380.37,0,"$27,544,528.55","15,147,182","238,708","74,365",$1.83,$115.39,$370.40,0,-1.17%,-5.96%
Candesartan Cilexetil,Candesartan Cilexetil,Par Pharm.,"$10,341,113.45","4,348,749","81,832","24,566",$2.39,$126.37,$420.95,0,"$12,377,918.75","6,203,566","111,006","28,545",$2.01,$111.51,$433.63,0,"$12,888,999.25","5,917,154","102,926","26,201",$2.19,$125.23,$491.93,0,"$10,511,696.50","$5,147,123.00","88,289","27,785",$2.05,$119.06,$378.32,0,"$18,075,467.47","9,319,485","159,152","53,475",$1.95,$113.57,$338.02,0,-5.08%,-4.94%
Candesartan Cilexetil,Candesartan Cilexetil,Sandoz,"$14,096,308.82","5,780,377","101,832","27,901",$2.44,$138.43,$505.23,0,"$9,322,514.74","4,370,394","74,890","21,390",$2.14,$124.48,$435.84,0,"$6,072,172.07","2,651,018","44,651","16,578",$2.29,$135.99,$366.28,0,"$564,091.01","$247,542.50","5,689","2,020",$2.27,$99.15,$279.25,0,"$798,864.11","378,212","8,706","2,636",$2.12,$91.76,$303.06,0,-6.96%,-3.55%
Candesartan-Hydrochlorothiazid,Candesartan/Hydrochlorothiazid,Ani Pharmaceuti, , , , , , , , , , , , , , , , , , , , , , , , ,"$147,071.43","$58,869.00",766,731,$2.50,$192.00,$201.19,0,"$3,380,277.08","1,393,228","21,564","8,743",$2.43,$156.76,$386.63,0,-2.94%,-2.94%
Candesartan-Hydrochlorothiazid,Candesartan/Hydrochlorothiazid,Macleods Pharma, , , , , , , , ,"$584,626.96","229,312","3,554","2,282",$2.55,$164.50,$256.19,0,"$3,329,960.42","1,274,042","20,517","5,624",$2.61,$162.30,$592.10,0,"$4,445,076.80","$1,799,377.00","28,034","8,759",$2.47,$158.56,$507.49,0,"$11,064,143.77","4,334,411","68,508","24,167",$2.56,$161.50,$457.82,0,3.35%,0.02%
Candesartan-Hydrochlorothiazid,Candesartan/Hydrochlorothiazid,Mylan,"$6,122,118.10","2,589,346","43,978","10,342",$2.37,$139.21,$591.97,0,"$6,105,629.97","2,664,012","44,660","10,450",$2.29,$136.71,$584.27,0,"$4,789,256.98","1,713,151","28,002","7,205",$2.80,$171.03,$664.71,0,"$5,194,430.62","$1,769,770.00","27,407","8,056",$2.94,$189.53,$644.79,0,"$4,655,050.28","1,592,309","26,560","11,438",$2.93,$175.27,$406.98,0,-0.27%,5.46%
Capex Shampoo,Fluocinolone Acetonide,Galderma Labora,"$44,935.53","14,744",105,84,$3.05,$427.96,$534.95,0,"$490,668.05","153,975","1,160",739,$3.19,$422.99,$663.96,0,"$441,708.76","138,482","1,065",696,$3.19,$414.75,$634.64,0,"$432,636.01","$134,489.56","1,006",615,$3.22,$430.06,$703.47,0,"$365,588.01","114,436",874,516,$3.19,$418.29,$708.50,0,-0.69%,1.18%
Caprelsa,Vandetanib,Genzyme, , , , , , , , , , , , , , , , ,"$2,029,963.10","7,606",171,85,$289.69,"$11,871.13","$23,881.92",0,"$10,972,914.93","$37,101.00",881,127,$323.79,"$12,455.07","$86,400.90",0,"$10,453,250.56","35,248",801,118,$325.12,"$13,050.25","$88,586.87",0,0.41%,5.94%
Captopril,Captopril,AHP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,$428.90,754,11, ,$0.64,$38.99, ,1, , 
Captopril,Captopril,Amici Pharmaceu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$211,054.78","153,194","1,165",997,$1.29,$181.16,$211.69,0, , 
