"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Cyclophosphamide*,Cyclophosphamide,12,"$6,790,633.37","495,109","10,067","2,934",$52.46,$674.54,"$2,314.46",1,"$6,379,853.55","462,538","9,523","2,607",$38.90,$669.94,"$2,447.20",1,"$5,915,821.28","392,568","8,334","2,326",$68.57,$709.84,"$2,543.35",1,"$5,356,070.78","380,674","7,770","2,211",$80.59,$689.33,"$2,422.47",1,"$4,209,193.46","335,301","6,772","2,001",$86.98,$621.56,"$2,103.54",0,7.92%,13.48%
Cycloserine,Cycloserine,1,"$333,438.53","7,366",156,36,$45.27,"$2,137.43","$9,262.18",1,"$196,549.74","6,413",119,26,$30.65,"$1,651.68","$7,559.61",1,"$163,039.24","4,455",77,22,$36.60,"$2,117.39","$7,410.87",0,"$280,990.57","5,302",72,17,$53.00,"$3,902.65","$16,528.86",0,"$264,615.76","4,319",83,18,$61.27,"$3,188.14","$14,700.88",0,15.61%,7.86%
Cycloset,Bromocriptine Mesylate,1,"$4,320,263.82","1,508,511","9,168","1,896",$2.86,$471.23,"$2,278.62",0,"$3,705,803.14","1,147,136","6,802","1,350",$3.23,$544.81,"$2,745.04",0,"$3,291,538.07","933,523","5,684","1,179",$3.53,$579.09,"$2,791.80",0,"$3,578,234.70","919,092","5,737","1,228",$3.89,$623.71,"$2,913.87",0,"$3,915,879.01","946,756","5,798","1,274",$4.14,$675.38,"$3,073.69",0,6.24%,9.62%
Cyclosporine Modified,"Cyclosporine, Modified",3,"$5,569,040.41","4,082,160","31,835","8,233",$1.72,$174.93,$676.43,0,"$5,870,893.37","4,945,286","36,319","8,428",$1.48,$161.65,$696.59,0,"$8,490,647.73","6,598,064","46,666","8,619",$1.63,$181.95,$985.11,0,"$9,093,522.22","7,001,020","48,501","9,024",$1.66,$187.49,"$1,007.70",0,"$9,180,975.94","7,226,157","49,320","9,603",$1.63,$186.15,$956.05,0,-1.63%,-1.35%
Cyclosporine*,Cyclosporine,3,"$5,465,001.43","1,487,755","12,730","2,825",$4.69,$429.30,"$1,934.51",0,"$6,159,027.33","1,729,285","14,770","3,109",$4.54,$417.00,"$1,981.03",0,"$6,480,361.49","1,571,090","13,575","2,983",$5.24,$477.37,"$2,172.43",0,"$5,577,839.30","1,276,123","11,279","2,740",$5.44,$494.53,"$2,035.71",0,"$6,708,289.04","1,439,529","12,567","3,112",$5.82,$533.80,"$2,155.62",0,7.07%,5.53%
Cymbalta,Duloxetine HCl,1,"$41,583,214.59","5,832,706","114,422","23,997",$7.14,$363.42,"$1,732.85",0,"$30,087,053.18","4,222,937","77,363","13,233",$7.13,$388.91,"$2,273.64",0,"$24,096,400.52","3,359,507","59,035","9,610",$7.18,$408.17,"$2,507.43",0,"$23,873,403.96","3,015,872","50,080","8,095",$7.92,$476.71,"$2,949.15",0,"$22,047,569.20","2,694,398","42,756","7,215",$8.19,$515.66,"$3,055.80",0,3.41%,3.51%
CyproHEPtadine HCl,CyproHEPtadine HCl,16,"$5,575,633.44","9,606,791","141,498","48,926",$0.60,$39.40,$113.96,0,"$5,577,311.62","9,598,942","140,617","48,236",$0.61,$39.66,$115.63,0,"$7,674,480.27","13,164,886","184,950","58,760",$0.63,$41.49,$130.61,0,"$7,803,832.60","14,993,184","196,006","60,498",$0.58,$39.81,$128.99,0,"$7,014,218.13","15,153,101","192,930","60,336",$0.51,$36.36,$116.25,0,-11.77%,-4.11%
Cyramza,Ramucirumab,1,"$3,116,145.98","29,900",438,97,$104.19,"$7,114.49","$32,125.22",0,"$2,482,636.40","22,960",340,69,$108.24,"$7,301.87","$35,980.24",0,"$2,368,992.34","20,960",298,69,$113.09,"$7,949.64","$34,333.22",0,"$1,373,285.03","11,940",184,43,$115.16,"$7,463.51","$31,936.86",0,"$2,992,343.37","25,050",346,79,$119.40,"$8,648.39","$37,877.76",0,3.68%,3.47%
Cyred Eq,Desogestrel-Ethinyl Estradiol,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$1,717.88","2,380",69,15,$0.72,$24.90,$114.53,0, , 
Cystadane,Betaine,1, , , ,64, , , , , , , ,64, , , , ,"$1,511,870.49","182,160",518,76,$8.30,"$2,918.67","$19,893.03",0,"$2,612,131.40","306,000",871,94,$8.54,"$2,999.00","$27,788.63",0,"$3,248,891.43","366,660",981,103,$8.86,"$3,311.82","$31,542.64",0,3.80%,3.32%
Cystagon,Cysteamine Bitartrate,1,"$79,359.94","108,080",213,41,$0.72,$372.58,"$1,935.61",0,"$62,900.32","74,058",150,24,$0.77,$419.34,"$2,620.85",0,"$51,878.64","66,360",130,23,$0.71,$399.07,"$2,255.59",0,"$63,147.75","85,620",152,20,$0.71,$415.45,"$3,157.39",0,"$65,839.87","81,752",155,26,$0.75,$424.77,"$2,532.30",0,4.76%,0.91%
Cystaran,Cysteamine HCl,1,"$1,542,104.07","23,250",366,57,$66.33,"$4,213.40","$27,054.46",0,"$2,120,201.25","23,895",397,53,$88.73,"$5,340.56","$40,003.80",0,"$2,693,996.96","26,220",436,65,$102.75,"$6,178.89","$41,446.11",0,"$3,041,843.61","28,905",461,62,$105.24,"$6,598.36","$49,061.99",0,"$3,158,192.43","29,175",473,65,$108.25,"$6,676.94","$48,587.58",0,2.86%,13.03%
Cytarabine,Cytarabine,1,$541.32,"1,090",15, ,$0.50,$36.09, ,1,"$1,219.07","1,979",58,16,$0.62,$21.02,$76.19,0,$802.81,"1,270",19, ,$0.63,$42.25, ,1,$961.42,"1,562",40,14,$0.62,$24.04,$68.67,0,$583.85,950,36,14,$0.61,$16.22,$41.70,0,-0.17%,5.47%
Cytarabine,Cytarabine/PF,2,"$6,789.14","5,935",160,65,$1.10,$42.43,$104.45,0,"$3,822.94","4,059",144,55,$0.96,$26.55,$69.51,0,"$4,729.28","4,997",142,53,$1.02,$33.30,$89.23,0,"$5,563.06","5,970",151,56,$1.01,$36.84,$99.34,0,"$8,841.23","9,135",227,97,$0.97,$38.95,$91.15,0,-3.86%,-3.07%
Cytogam,Cytomegalovirus Immune Globuln,1,"$299,093.85","11,880",48,13,$25.18,"$6,231.12","$23,007.22",0,"$367,367.14","13,904",63,11,$26.42,"$5,831.22","$33,397.01",0,"$144,296.23","5,450",16, ,$26.48,"$9,018.51", ,1,"$225,538.10","8,400",26,14,$26.85,"$8,674.54","$16,109.86",1,"$206,383.73","7,800",35,14,$26.46,"$5,896.68","$14,741.70",0,-1.45%,1.25%
Cytomel,Liothyronine Sodium,1,"$1,982,621.46","1,568,794","19,495","4,100",$1.29,$101.70,$483.57,0,"$2,432,601.41","1,620,630","19,148","4,147",$1.53,$127.04,$586.59,0,"$2,899,472.42","1,632,103","18,299","3,955",$1.81,$158.45,$733.12,0,"$2,998,173.21","1,503,635","16,206","3,880",$2.04,$185.00,$772.73,0,"$2,795,517.91","1,418,465","13,546","3,239",$1.99,$206.37,$863.08,0,-2.17%,11.43%
Cytotec,Misoprostol,1,"$74,987.81","23,431",176,46,$3.18,$426.07,"$1,630.17",0,"$54,757.04","14,937",106,34,$3.69,$516.58,"$1,610.50",0,"$59,937.12","14,026",74,19,$4.22,$809.96,"$3,154.59",0,"$59,228.43","12,045",80,19,$4.97,$740.36,"$3,117.29",0,"$59,205.21","11,613",64,15,$5.00,$925.08,"$3,947.01",0,0.73%,12.01%
Cytra-K,Potassium Citrate/Citric Acid,1,"$71,975.61","412,498",729,461,$0.48,$98.73,$156.13,0, , , , , , , , ,$764.94,"1,388",11, ,$0.55,$69.54, , ,"$1,851.56","2,000",19,14,$0.93,$97.45,$132.25,1,"$17,646.85","14,623",164,75,$1.21,$107.60,$235.29,0,30.35%,25.64%
Dacarbazine,Dacarbazine,2,"$1,902.22",185,24, ,$10.29,$79.26, ,1,"$4,450.10",355,57,18,$12.46,$78.07,$247.23,1,"$1,900.27",131,22, ,$14.51,$86.38, ,1,"$4,479.26",360,52,16,$12.35,$86.14,$279.95,1,"$5,079.46",490,70,17,$10.59,$72.56,$298.79,0,-14.21%,0.74%
Daklinza,Daclatasvir Dihydrochloride,1,"$111,737,781.83","147,724","5,265","1,983",$756.40,"$21,222.75","$56,347.85",0,"$392,333,905.98","519,899","18,512","5,491",$754.62,"$21,193.49","$71,450.36",0,"$137,214,398.38","180,273","6,445","2,127",$761.14,"$21,290.05","$64,510.77",0,"$6,816,372.58","8,848",316,145,$770.39,"$21,570.80","$47,009.47",0,"$578,144.32",784,28, ,$737.43,"$20,648.01", ,1,-4.28%,-0.63%
Dalfampridine ER,Dalfampridine,6, , , , , , , , , , , , , , , , , , , , , , , , ,"$19,984,248.95","982,311","14,277","6,874",$19.78,"$1,399.75","$2,907.22",0,"$81,773,546.63","6,070,624","89,134","12,956",$13.35,$917.42,"$6,311.64",1,-32.52%,-32.52%
Daliresp,Roflumilast,1,"$31,247,056.07","3,621,094","101,757","65,437",$8.63,$307.08,$477.51,0,"$125,173,126.43","12,845,181","361,428","66,150",$9.74,$346.33,"$1,892.26",0,"$142,175,348.21","13,211,963","367,139","63,358",$10.76,$387.25,"$2,244.00",0,"$156,394,477.92","13,260,144","356,391","62,182",$11.79,$438.83,"$2,515.11",0,"$173,585,775.76","14,175,109","367,390","66,947",$12.25,$472.48,"$2,592.88",0,3.83%,9.15%
Dalvance,Dalbavancin HCl,1,"$451,745.55","1,467",189,79,$308.04,"$2,390.19","$5,718.30",1,"$1,087,016.88","3,997",363,173,$271.93,"$2,994.54","$6,283.33",1,"$2,246,624.89","20,568",606,346,$109.23,"$3,707.30","$6,493.14",1,"$2,677,241.99","14,800",637,365,$180.90,"$4,202.89","$7,334.91",1,"$3,732,623.91","15,037",848,469,$248.23,"$4,401.68","$7,958.69",1,37.22%,-5.25%
Danazol,Danazol,2,"$2,635,523.26","692,907","9,989","2,090",$3.77,$263.84,"$1,261.02",0,"$2,852,701.28","693,514","9,896","2,081",$4.08,$288.27,"$1,370.83",0,"$2,933,799.29","674,573","9,495","2,048",$4.29,$308.98,"$1,432.52",0,"$2,958,523.09","689,590","9,426","2,083",$4.23,$313.87,"$1,420.32",0,"$3,085,123.54","709,992","9,263","2,074",$4.30,$333.06,"$1,487.52",0,1.62%,3.30%
Dantrium,Dantrolene Sodium,1,"$69,491.40","57,178",382,69,$1.23,$181.91,"$1,007.12",0,"$62,205.67","51,687",315,49,$1.20,$197.48,"$1,269.50",0,"$45,090.72","39,304",254,48,$1.15,$177.52,$939.39,0,"$35,987.26","31,651",205,34,$1.14,$175.55,"$1,058.45",0,"$37,987.79","33,731",174,28,$1.16,$218.32,"$1,356.71",0,1.48%,-1.45%
Dantrolene Sodium,Dantrolene Sodium,4,"$4,967,302.79","4,643,526","44,553","6,222",$1.08,$111.49,$798.35,0,"$4,683,235.09","4,736,121","45,056","6,347",$0.99,$103.94,$737.87,0,"$4,859,492.83","4,861,562","47,183","6,636",$1.00,$102.99,$732.29,0,"$4,839,530.52","4,982,507","47,874","6,605",$0.98,$101.09,$732.71,0,"$4,933,985.72","5,028,080","46,852","6,627",$0.99,$105.31,$744.53,0,0.86%,-2.30%
Dapsone*,Dapsone,11,"$4,888,310.39","4,972,019","99,212","21,297",$1.03,$49.27,$229.53,0,"$9,365,938.93","5,176,802","100,082","21,771",$1.89,$93.58,$430.20,0,"$10,016,488.26","5,466,838","101,780","22,432",$1.92,$98.41,$446.53,0,"$10,661,341.13","5,855,073","103,536","24,128",$1.88,$102.97,$441.87,0,"$10,668,725.69","6,263,695","105,952","25,697",$1.77,$100.69,$415.17,0,-5.93%,14.49%
Daptacel DTaP,"Diph,Pertuss(Acell),Tet Ped/PF",1,"$13,357.37",138,199,195,$97.14,$67.12,$68.50,1,"$8,950.57",120,132,131,$74.59,$67.81,$68.32,0,"$12,967.93",156,187,173,$83.40,$69.35,$74.96,0,"$14,917.02",211,235,228,$70.86,$63.48,$65.43,0,"$11,395.52",124,212,184,$92.27,$53.75,$61.93,0,30.21%,-1.28%
Daptomycin,Daptomycin,14, , , , , , , , ,"$11,155,954.75","229,605","4,535","1,250",$60.92,"$2,459.97","$8,924.76",1,"$72,716,947.47","1,599,362","29,357","6,765",$54.52,"$2,476.99","$10,748.99",1,"$114,716,591.41","1,914,688","45,821","10,781",$65.80,"$2,503.58","$10,640.63",1,"$153,411,365.94","1,908,739","60,727","13,787",$106.12,"$2,526.25","$11,127.25",1,61.28%,20.32%
Daraprim,Pyrimethamine,1, , , ,529, , , , ,"$30,699,634.13","40,655",818,300,$755.13,"$37,530.12","$102,332.11",0,"$38,230,100.80","50,501","1,023",195,$757.02,"$37,370.58","$196,051.80",0,"$34,331,732.27","45,186",895,177,$759.79,"$38,359.48","$193,964.59",0,"$40,523,868.67","52,594",998,197,$770.50,"$40,605.08","$205,704.92",0,1.41%,0.67%
Darifenacin ER,Darifenacin Hydrobromide,7, , , , , , , , ,"$17,932,568.64","2,348,927","47,626","13,226",$7.66,$376.53,"$1,355.86",0,"$22,664,634.60","3,182,326","64,144","14,935",$7.14,$353.34,"$1,517.55",0,"$20,446,749.06","3,149,661","62,335","14,186",$6.52,$328.01,"$1,441.33",0,"$16,059,765.63","2,943,563","56,449","13,532",$5.48,$284.50,"$1,186.80",0,-15.93%,-10.58%
Darzalex,Daratumumab,1,"$252,175.50","2,770",13, ,$91.02,"$19,398.12", ,1,"$5,062,387.71","55,464",405,88,$91.27,"$12,499.72","$57,527.13",0,"$7,540,100.28","77,600",818,129,$97.13,"$9,217.73","$58,450.39",0,"$11,263,942.23","108,475","1,059",159,$103.81,"$10,636.39","$70,842.40",0,"$15,299,262.69","140,252","1,543",220,$109.08,"$9,915.27","$69,542.10",0,5.08%,4.63%
Dasetta,Norethindrone-Ethin. Estradiol,1,"$172,444.06","268,984","7,416","1,326",$0.64,$23.25,$130.05,0,"$179,705.12","288,237","7,932","1,393",$0.62,$22.66,$129.01,0,"$169,227.99","293,988","7,686","1,353",$0.58,$22.02,$125.08,0,"$127,173.68","209,090","5,364","1,009",$0.61,$23.71,$126.04,0,"$115,837.25","188,765","4,804",788,$0.61,$24.11,$147.00,0,0.80%,-1.10%
Daurismo,Glasdegib Maleate,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$4,463,999.83","8,012",258,118,$569.74,"$17,302.32","$37,830.51",0, , 
Daypro,Oxaprozin,1,"$175,737.71","37,205",452,97,$4.72,$388.80,"$1,811.73",0,"$184,845.46","33,311",373,91,$5.55,$495.56,"$2,031.27",0,"$188,241.35","28,061",322,72,$6.71,$584.60,"$2,614.46",0,"$164,731.45","21,509",243,60,$7.66,$677.91,"$2,745.52",0,"$134,421.29","17,750",183,43,$7.57,$734.54,"$3,126.08",0,-1.12%,12.53%
Daysee,L-Norgest/E.Estradiol-E.Estrad,1,"$105,481.72","53,067",583,261,$1.99,$180.93,$404.14,0,"$97,992.54","59,869",660,312,$1.64,$148.47,$314.08,0,"$118,078.51","82,956",912,407,$1.42,$129.47,$290.12,0,"$175,827.13","117,656","1,290",568,$1.49,$136.30,$309.55,0,"$180,451.97","122,079","1,341",550,$1.48,$134.57,$328.09,0,-1.09%,-7.14%
Daytrana,Methylphenidate,1,"$698,233.88","77,773","2,214",390,$8.98,$315.37,"$1,790.34",0,"$545,857.38","53,547","1,504",316,$10.19,$362.94,"$1,727.40",0,"$487,182.66","47,923","1,273",241,$10.17,$382.70,"$2,021.50",0,"$586,107.63","52,176","1,409",259,$11.24,$415.97,"$2,262.96",0,"$616,907.93","49,666","1,367",242,$12.42,$451.29,"$2,549.21",0,10.57%,8.45%
Ddavp,Desmopressin (Nonrefrigerated),1,"$984,371.25","13,045",798,138,$75.46,"$1,233.55","$7,133.13",0,"$818,891.83","10,100",641,113,$81.08,"$1,277.52","$7,246.83",0,"$841,543.23","9,730",529,92,$86.49,"$1,590.82","$9,147.21",0,"$736,770.31","8,190",432,72,$89.96,"$1,705.49","$10,232.92",0,"$626,093.08","6,630",379,68,$94.43,"$1,651.96","$9,207.25",0,4.97%,5.77%
Ddavp*,Desmopressin Acetate,1,"$1,215,299.94","71,571",894,181,$43.60,"$1,359.40","$6,714.36",0,"$1,489,402.70","68,057","1,045",201,$54.22,"$1,425.27","$7,409.96",0,"$1,280,872.27","63,028",920,149,$53.90,"$1,392.25","$8,596.46",0,"$1,072,177.46","63,046",754,138,$51.49,"$1,421.99","$7,769.40",0,"$900,136.36","62,691",679,141,$45.95,"$1,325.68","$6,383.95",0,-10.75%,1.32%
Deblitane,Norethindrone,1,"$34,228.61","58,074","1,605",429,$0.59,$21.33,$79.79,0,"$38,593.52","74,536","2,038",535,$0.52,$18.94,$72.14,0,"$50,474.21","100,464","2,542",681,$0.50,$19.86,$74.12,0,"$53,916.03","98,392","2,286",676,$0.55,$23.59,$79.76,0,"$53,119.11","105,880","2,258",621,$0.50,$23.52,$85.54,0,-8.45%,-3.95%
Decadron,Dexamethasone,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$2,075.20","3,420",35,31,$1.18,$59.29,$66.94,1, , 
Decitabine,Decitabine,6,"$998,127.00",653,132,47,"$1,528.56","$7,561.57","$21,236.74",0,"$1,524,783.58","1,078",208,54,"$1,416.50","$7,330.69","$28,236.73",0,"$1,224,002.45",949,188,51,"$1,289.87","$6,510.65","$24,000.05",0,"$751,280.21",629,123,42,"$1,194.11","$6,107.97","$17,887.62",0,"$881,935.59","1,126",221,63,$785.24,"$3,990.66","$13,998.98",0,-34.24%,-15.34%
Deferasirox,Deferasirox,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$20,431,241.41","189,685","2,535",827,$107.11,"$8,059.66","$24,705.25",0, , 
Deferoxamine Mesylate,Deferoxamine Mesylate,4,"$177,261.41","23,437",912,86,$10.20,$194.37,"$2,061.18",0,"$205,687.40","9,164",868,77,$25.90,$236.97,"$2,671.26",0,"$192,279.34","12,821",802,76,$16.57,$239.75,"$2,529.99",1,"$152,948.49","12,432",644,63,$14.58,$237.50,"$2,427.75",1,"$136,001.77","5,475",601,60,$33.54,$226.29,"$2,266.70",0,130.00%,34.66%
Delestrogen,Estradiol Valerate,1,"$308,058.71","7,664","1,367",697,$40.68,$225.35,$441.98,0,"$178,404.31","5,528",962,495,$32.22,$185.45,$360.41,0,"$85,672.57","2,559",453,272,$33.07,$189.12,$314.97,0,"$568,379.16","13,827","2,514","1,056",$41.29,$226.09,$538.24,0,"$368,538.07","9,685","1,717",716,$38.85,$214.64,$514.72,0,-5.91%,-1.14%
Delstrigo,Doravirine/Lamivu/Tenofov Diso,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$71,059.66","1,020",30,20,$69.67,"$2,368.66","$3,552.98",0,"$2,220,810.95","31,088","1,017",206,$71.44,"$2,183.69","$10,780.64",0,2.54%,2.54%
Delzicol,Mesalamine,1, , , ,"19,391", , , , ,"$17,571,694.92","6,044,996","27,304","17,954",$2.91,$643.56,$978.71,0,"$47,543,499.38","14,946,529","71,839","14,202",$3.18,$661.81,"$3,347.66",0,"$48,182,738.37","13,826,316","66,669","12,235",$3.48,$722.72,"$3,938.11",0,"$29,662,683.04","7,797,572","39,452","9,403",$3.80,$751.87,"$3,154.60",0,9.16%,9.38%
Demeclocycline HCl,Demeclocycline HCl,6,"$11,039,540.44","1,856,314","29,584","6,895",$6.06,$373.16,"$1,601.09",0,"$9,800,525.63","1,789,101","28,430","5,716",$5.57,$344.72,"$1,714.58",0,"$8,481,105.59","1,529,309","24,325","4,769",$5.62,$348.66,"$1,778.38",0,"$7,810,032.84","1,342,422","21,379","4,174",$5.91,$365.31,"$1,871.11",0,"$7,455,908.01","1,190,233","18,828","3,582",$6.33,$396.00,"$2,081.49",0,7.12%,1.10%
Demerol,Meperidine HCl/PF,1,"$196,387.04","60,395","4,824","3,126",$3.29,$40.71,$62.82,0,"$162,090.90","41,897","3,902","2,624",$4.00,$41.54,$61.77,0,"$159,688.19","40,323","3,723","2,574",$4.26,$42.89,$62.04,0,"$77,515.42","22,437","2,782","2,230",$4.12,$27.86,$34.76,0,"$63,036.00","18,606","1,967","1,610",$4.09,$32.05,$39.15,0,-0.67%,5.57%
Demser,Metyrosine,1,"$2,383,362.80","8,043",103,24,$296.33,"$23,139.44","$99,306.78",0,"$2,033,401.70","7,551",99,21,$269.29,"$20,539.41","$96,828.65",1,"$2,891,309.39","10,368",112,20,$278.87,"$25,815.26","$144,565.47",1,"$3,245,430.11","10,948",138,25,$296.44,"$23,517.61","$129,817.20",1,"$3,200,369.30","9,233",130,19,$346.62,"$24,618.23","$168,440.49",0,16.93%,4.00%
Denavir,Penciclovir,2,"$16,050,470.93","117,460","20,851","13,382",$136.65,$769.77,"$1,199.41",0,"$13,044,201.89","87,274","15,300","9,758",$149.46,$852.56,"$1,336.77",0,"$10,056,813.09","65,659","11,573","7,451",$153.17,$868.99,"$1,349.73",0,"$8,402,948.03","51,515","9,116","5,744",$163.12,$921.78,"$1,462.91",0,"$7,219,833.83","44,358","7,928","5,083",$162.77,$910.68,"$1,420.39",0,-0.21%,4.47%
Denta 5000 Plus,Fluoride (Sodium),1,"$378,049.21","3,109,329","48,973","24,124",$0.12,$7.72,$15.67,0,"$301,676.76","2,961,738","47,325","23,871",$0.10,$6.37,$12.64,0,"$360,486.99","3,108,945","49,800","24,757",$0.12,$7.24,$14.56,0,"$375,937.64","3,302,932","52,036","25,752",$0.11,$7.22,$14.60,0,"$341,301.67","3,016,243","40,591","21,139",$0.11,$8.41,$16.15,0,-0.58%,-1.78%
Dentagel,Fluoride (Sodium),1,"$96,342.59","876,118","12,923","6,324",$0.11,$7.46,$15.23,0,"$101,426.92","1,009,756","14,740","7,288",$0.10,$6.88,$13.92,0,"$109,581.30","1,073,364","15,642","7,420",$0.10,$7.01,$14.77,0,"$142,180.97","1,313,025","18,353","8,293",$0.11,$7.75,$17.14,0,"$129,785.45","1,146,386","16,291","7,559",$0.11,$7.97,$17.17,0,4.55%,0.73%
Depakene,Valproic Acid,1,"$535,562.86","127,713",692,92,$4.19,$773.93,"$5,821.34",0,"$621,035.50","274,223","1,134",521,$2.26,$547.65,"$1,192.01",0,"$448,963.53","96,314",539,80,$4.66,$832.96,"$5,612.04",0,"$422,982.11","83,930",454,64,$5.04,$931.68,"$6,609.10",0,"$187,663.41","38,286",221,60,$4.90,$849.16,"$3,127.72",0,-2.74%,3.98%
Depakene,Valproic Acid (As Sodium Salt),1,"$1,606,471.44","1,803,382","1,920",281,$0.89,$836.70,"$5,716.98",0,"$1,751,702.21","1,857,867","1,908",223,$0.94,$918.08,"$7,855.17",0,"$1,732,342.19","1,737,777","1,783",211,$1.00,$971.59,"$8,210.15",0,"$1,868,221.26","1,764,384","1,770",206,$1.06,"$1,055.49","$9,069.04",0,"$336,973.25","316,295",386,167,$1.07,$872.99,"$2,017.80",0,0.62%,4.58%
Depakote,Divalproex Sodium,1,"$18,762,439.17","4,628,419","38,016","4,765",$4.13,$493.54,"$3,937.55",0,"$18,751,256.25","4,381,009","34,865","4,315",$4.37,$537.82,"$4,345.60",0,"$18,204,354.59","4,031,137","31,394","3,907",$4.59,$579.87,"$4,659.42",0,"$17,996,219.78","3,738,886","28,265","3,605",$4.89,$636.70,"$4,992.02",0,"$16,456,782.03","3,440,592","25,275","3,340",$4.87,$651.11,"$4,927.18",0,-0.51%,4.23%
Depakote ER,Divalproex Sodium,1,"$21,636,122.41","5,164,813","51,582","6,397",$4.16,$419.45,"$3,382.23",0,"$21,343,616.15","4,809,225","46,862","5,670",$4.42,$455.46,"$3,764.31",0,"$20,769,090.78","4,464,181","42,304","5,103",$4.64,$490.95,"$4,069.98",0,"$21,181,974.59","4,256,510","38,724","4,753",$4.97,$547.00,"$4,456.55",0,"$19,707,068.96","3,957,842","34,725","4,458",$4.97,$567.52,"$4,420.61",0,0.00%,4.53%
Depakote Sprinkle,Divalproex Sodium,1,"$3,540,618.08","2,479,461","8,805","1,196",$1.43,$402.11,"$2,960.38",0,"$3,731,274.65","2,490,622","8,535","1,334",$1.50,$437.17,"$2,797.06",0,"$3,798,119.27","2,501,820","8,216","1,267",$1.52,$462.28,"$2,997.73",0,"$3,929,023.37","2,416,918","7,668","1,154",$1.63,$512.39,"$3,404.70",0,"$3,865,045.66","2,389,108","7,120","1,108",$1.62,$542.84,"$3,488.31",0,-0.48%,3.17%
Depen,Penicillamine,1,"$3,034,060.31","57,455",575,123,$52.81,"$5,276.63","$24,667.16",0,"$4,517,559.72","76,952",709,136,$58.71,"$6,371.73","$33,217.35",0,"$4,525,138.79","74,616",708,137,$60.65,"$6,391.44","$33,030.21",0,"$1,343,118.36","22,412",270,90,$59.93,"$4,974.51","$14,923.54",0,"$212,180.32","3,496",55,34,$60.69,"$3,857.82","$6,240.60",0,1.27%,3.54%
Depo-Estradiol,Estradiol Cypionate,1,"$676,354.84","53,043","9,335","4,105",$12.75,$72.45,$164.76,0,"$911,985.39","56,744","9,763","4,318",$16.07,$93.41,$211.21,0,"$1,078,786.04","57,570","10,017","4,262",$18.74,$107.70,$253.12,0,"$1,191,481.63","55,877","9,761","4,164",$21.32,$122.07,$286.14,0,"$1,120,023.28","51,683","9,111","3,779",$21.67,$122.93,$296.38,0,1.63%,14.18%
Depo-Medrol,Methylprednisolone Acetate,2,"$144,174.59","22,214","7,317","5,665",$8.81,$19.70,$25.45,1,"$184,046.64","16,749","8,746","6,387",$11.09,$21.04,$28.82,1,"$213,204.70","16,933","8,870","6,608",$12.76,$24.04,$32.26,1,"$177,161.69","12,036","6,731","5,241",$14.89,$26.32,$33.80,0,"$85,788.80","6,022","3,315","2,515",$14.62,$25.88,$34.11,0,-1.84%,13.49%
Depo-Provera,Medroxyprogesterone Acetate,2,"$456,731.45","3,863","1,368",459,$118.37,$333.87,$995.06,1,"$543,583.00","3,883","1,466",623,$138.81,$370.79,$872.52,1,"$538,621.38","2,818","1,124",375,$184.71,$479.20,"$1,436.32",0,"$593,387.47","2,678","1,004",308,$216.50,$591.02,"$1,926.58",0,"$617,317.65","2,780","1,047",314,$218.23,$589.61,"$1,965.98",0,0.80%,16.52%
Depo-Subq Provera 104,Medroxyprogesterone Acetate,1,"$27,247.79",126,184,88,$216.25,$148.09,$309.63,0,"$35,091.43",133,203,81,$263.25,$172.86,$433.23,0,"$40,550.85",130,196,73,$311.45,$206.89,$555.49,0,"$45,771.41",126,189,70,$362.69,$242.18,$653.88,0,"$54,869.18",150,218,93,$366.16,$251.69,$589.99,0,0.96%,14.07%
Depo-Testosterone,Testosterone Cypionate,2,"$2,199,822.07","153,347","36,270","13,150",$15.28,$60.65,$167.29,0,"$1,412,806.31","96,653","22,510","8,125",$15.56,$62.76,$173.88,0,"$1,205,502.37","78,016","17,368","6,484",$16.59,$69.41,$185.92,0,"$1,063,307.20","64,410","14,096","5,159",$17.87,$75.43,$206.11,0,"$890,794.57","59,283","12,535","5,179",$15.96,$71.06,$172.00,0,-10.71%,1.08%
